Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Recommended_Business_Idea,Business_Category,Feasibility_Score
37,Female,Semi-Urban,Low (0–10k),"Beautician, Hair Styling",Retail,Both,Medium,Home Cleaning Services,Domestic Services,0.69
22,Male,Urban,High (50k+),"Beautician, Hair Styling",Education,Offline,High,Plant Nursery Business,Agriculture,0.63
49,Female,Rural,Medium (10k–50k),"Handicrafts, Weaving",Retail,Online,High,Home Cleaning Services,Domestic Services,0.63
30,Female,Semi-Urban,High (50k+),"Smartphone Usage, Online Sales",Clothing,Both,Medium,Home Cleaning Services,Domestic Services,0.91
39,Female,Rural,High (50k+),"Smartphone Usage, Online Sales",Art & Craft,Offline,Medium,Small-scale Dairy Farming,Agriculture,0.78
22,Female,Rural,High (50k+),"Cleaning, Domestic Work",Art & Craft,Offline,Medium,Event Photography,Creative Services,0.82
33,Male,Urban,Low (0–10k),"Gardening, Plant Care",Agriculture,Offline,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.68
28,Male,Urban,High (50k+),"Teaching Kids, Storytelling",Art & Craft,Online,Medium,WhatsApp-based Reselling,E-commerce,0.92
29,Female,Semi-Urban,High (50k+),"Handicrafts, Weaving",Beauty,Offline,High,Plant Nursery Business,Agriculture,0.81
34,Male,Rural,Low (0–10k),"Photography, Video Editing",Beauty,Offline,High,Home-based Tailoring Service,Apparel,0.84
49,Female,Urban,Low (0–10k),"Photography, Video Editing",Retail,Offline,Low,Beauty & Hair Care Services,Beauty,0.91
23,Female,Semi-Urban,Medium (10k–50k),"Handicrafts, Weaving",Agriculture,Offline,Low,Home Cleaning Services,Domestic Services,0.86
40,Female,Semi-Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Retail,Online,High,Event Photography,Creative Services,0.91
32,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Retail,Both,Low,Beauty & Hair Care Services,Beauty,0.82
27,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Clothing,Offline,High,Handmade Craft & Jewelry Sales,Art & Craft,0.9
36,Female,Urban,High (50k+),"Farming, Animal Care",Clothing,Both,Low,Beauty & Hair Care Services,Beauty,0.65
27,Female,Semi-Urban,Low (0–10k),"Cooking, Snack Making",Art & Craft,Online,Medium,Beauty & Hair Care Services,Beauty,0.83
48,Male,Urban,Low (0–10k),"Smartphone Usage, Online Sales",Technology,Online,High,Home Cleaning Services,Domestic Services,0.6
21,Female,Semi-Urban,Low (0–10k),"Teaching Kids, Storytelling",Technology,Online,Low,Beauty & Hair Care Services,Beauty,0.63
33,Female,Semi-Urban,Low (0–10k),"Tailoring, Stitching",Education,Offline,Low,Home Cleaning Services,Domestic Services,0.94
21,Female,Urban,High (50k+),"Beautician, Hair Styling",Beauty,Both,Low,Beauty & Hair Care Services,Beauty,0.75
32,Male,Semi-Urban,High (50k+),"Photography, Video Editing",Clothing,Both,Medium,Home-based Tailoring Service,Apparel,0.67
23,Female,Rural,Low (0–10k),"Gardening, Plant Care",Agriculture,Both,Medium,Beauty & Hair Care Services,Beauty,0.87
36,Female,Semi-Urban,High (50k+),"Handicrafts, Weaving",Agriculture,Both,High,Plant Nursery Business,Agriculture,0.77
41,Male,Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Art & Craft,Online,High,WhatsApp-based Reselling,E-commerce,0.79
30,Male,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Education,Offline,Low,Handmade Craft & Jewelry Sales,Art & Craft,0.92
34,Male,Semi-Urban,High (50k+),"Cooking, Snack Making",Food,Online,Low,WhatsApp-based Reselling,E-commerce,0.7
45,Female,Semi-Urban,High (50k+),"Photography, Video Editing",Agriculture,Offline,Low,Home Cleaning Services,Domestic Services,0.83
44,Female,Semi-Urban,Medium (10k–50k),"Photography, Video Editing",Clothing,Offline,Medium,Home-based Tailoring Service,Apparel,0.64
25,Male,Semi-Urban,Low (0–10k),"Farming, Animal Care",Agriculture,Online,Low,WhatsApp-based Reselling,E-commerce,0.75
38,Female,Semi-Urban,Medium (10k–50k),"Cleaning, Domestic Work",Retail,Online,High,Small-scale Dairy Farming,Agriculture,0.72
32,Female,Semi-Urban,Low (0–10k),"Cooking, Snack Making",Art & Craft,Offline,Low,Small-scale Dairy Farming,Agriculture,0.94
20,Female,Urban,Medium (10k–50k),"Gardening, Plant Care",Clothing,Both,Low,Beauty & Hair Care Services,Beauty,0.61
35,Female,Semi-Urban,High (50k+),"Teaching Kids, Storytelling",Technology,Offline,Low,Beauty & Hair Care Services,Beauty,0.78
20,Female,Urban,Low (0–10k),"Beautician, Hair Styling",Beauty,Offline,Medium,Beauty & Hair Care Services,Beauty,0.76
33,Female,Semi-Urban,Low (0–10k),"Farming, Animal Care",Clothing,Offline,Medium,WhatsApp-based Reselling,E-commerce,0.81
25,Male,Rural,Medium (10k–50k),"Farming, Animal Care",Technology,Online,Medium,Event Photography,Creative Services,0.83
33,Female,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Food,Online,High,Home-based Tailoring Service,Apparel,0.75
41,Female,Urban,Low (0–10k),"Handicrafts, Weaving",Art & Craft,Online,High,Homemade Pickle & Snack Sales,Food & Beverage,0.7
36,Female,Semi-Urban,High (50k+),"Beautician, Hair Styling",Food,Both,Medium,WhatsApp-based Reselling,E-commerce,0.71
30,Female,Urban,Low (0–10k),"Cleaning, Domestic Work",Agriculture,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.73
50,Female,Urban,Low (0–10k),"Teaching Kids, Storytelling",Clothing,Offline,Medium,WhatsApp-based Reselling,E-commerce,0.72
22,Female,Semi-Urban,High (50k+),"Farming, Animal Care",Technology,Both,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.73
31,Female,Rural,High (50k+),"Tailoring, Stitching",Clothing,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.82
26,Male,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Beauty,Offline,High,Home Tuition for Kids,Education,0.65
33,Female,Urban,Medium (10k–50k),"Beautician, Hair Styling",Technology,Online,Low,Event Photography,Creative Services,0.66
46,Male,Semi-Urban,High (50k+),"Teaching Kids, Storytelling",Education,Offline,Medium,Home Tuition for Kids,Education,0.64
48,Female,Rural,Low (0–10k),"Cooking, Snack Making",Retail,Offline,Low,Home Tuition for Kids,Education,0.67
43,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Technology,Online,Low,Beauty & Hair Care Services,Beauty,0.87
34,Female,Rural,High (50k+),"Teaching Kids, Storytelling",Food,Both,High,Small-scale Dairy Farming,Agriculture,0.62
43,Male,Semi-Urban,High (50k+),"Beautician, Hair Styling",Beauty,Online,High,Home Tuition for Kids,Education,0.64
23,Female,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Art & Craft,Both,Low,Event Photography,Creative Services,0.62
46,Female,Semi-Urban,High (50k+),"Photography, Video Editing",Food,Online,Medium,Home Cleaning Services,Domestic Services,0.68
39,Female,Semi-Urban,Low (0–10k),"Gardening, Plant Care",Art & Craft,Offline,Medium,Beauty & Hair Care Services,Beauty,0.86
24,Female,Rural,Low (0–10k),"Beautician, Hair Styling",Education,Offline,High,Handmade Craft & Jewelry Sales,Art & Craft,0.88
48,Female,Urban,Low (0–10k),"Handicrafts, Weaving",Education,Offline,Low,Small-scale Dairy Farming,Agriculture,0.8
48,Male,Urban,Low (0–10k),"Smartphone Usage, Online Sales",Technology,Online,Low,Handmade Craft & Jewelry Sales,Art & Craft,0.77
22,Female,Urban,High (50k+),"Beautician, Hair Styling",Clothing,Online,High,Beauty & Hair Care Services,Beauty,0.81
23,Female,Urban,Low (0–10k),"Farming, Animal Care",Retail,Offline,Medium,Beauty & Hair Care Services,Beauty,0.68
33,Female,Rural,High (50k+),"Smartphone Usage, Online Sales",Food,Offline,High,Small-scale Dairy Farming,Agriculture,0.93
22,Male,Rural,Low (0–10k),"Farming, Animal Care",Retail,Both,High,Home-based Tailoring Service,Apparel,0.81
42,Male,Rural,High (50k+),"Handicrafts, Weaving",Beauty,Online,Medium,WhatsApp-based Reselling,E-commerce,0.8
20,Female,Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Clothing,Online,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.9
35,Female,Urban,High (50k+),"Photography, Video Editing",Retail,Offline,Medium,Small-scale Dairy Farming,Agriculture,0.62
50,Female,Rural,High (50k+),"Cleaning, Domestic Work",Beauty,Both,High,Event Photography,Creative Services,0.62
33,Female,Semi-Urban,Low (0–10k),"Cooking, Snack Making",Retail,Online,High,Homemade Pickle & Snack Sales,Food & Beverage,0.79
37,Female,Urban,High (50k+),"Teaching Kids, Storytelling",Art & Craft,Online,High,Handmade Craft & Jewelry Sales,Art & Craft,0.9
26,Female,Semi-Urban,Low (0–10k),"Cleaning, Domestic Work",Education,Both,High,Handmade Craft & Jewelry Sales,Art & Craft,0.85
21,Female,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Art & Craft,Offline,Medium,Beauty & Hair Care Services,Beauty,0.68
23,Male,Rural,Low (0–10k),"Farming, Animal Care",Art & Craft,Both,High,WhatsApp-based Reselling,E-commerce,0.91
26,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Clothing,Both,High,Home Tuition for Kids,Education,0.89
26,Female,Semi-Urban,Low (0–10k),"Photography, Video Editing",Retail,Offline,Low,Event Photography,Creative Services,0.87
47,Female,Semi-Urban,Low (0–10k),"Photography, Video Editing",Art & Craft,Offline,Medium,Home-based Tailoring Service,Apparel,0.69
50,Female,Urban,Medium (10k–50k),"Beautician, Hair Styling",Beauty,Online,Low,Beauty & Hair Care Services,Beauty,0.83
45,Female,Urban,Low (0–10k),"Cooking, Snack Making",Beauty,Both,High,Beauty & Hair Care Services,Beauty,0.73
50,Female,Urban,Medium (10k–50k),"Cleaning, Domestic Work",Education,Offline,High,Handmade Craft & Jewelry Sales,Art & Craft,0.68
45,Female,Rural,High (50k+),"Gardening, Plant Care",Beauty,Offline,Medium,Small-scale Dairy Farming,Agriculture,0.72
26,Male,Rural,High (50k+),"Farming, Animal Care",Clothing,Online,Low,Home-based Tailoring Service,Apparel,0.76
35,Female,Rural,High (50k+),"Teaching Kids, Storytelling",Food,Both,High,Small-scale Dairy Farming,Agriculture,0.94
31,Female,Urban,High (50k+),"Photography, Video Editing",Agriculture,Offline,High,Plant Nursery Business,Agriculture,0.92
39,Female,Rural,Medium (10k–50k),"Beautician, Hair Styling",Retail,Online,High,Handmade Craft & Jewelry Sales,Art & Craft,0.68
47,Female,Urban,High (50k+),"Teaching Kids, Storytelling",Beauty,Both,Low,Home Tuition for Kids,Education,0.92
31,Female,Urban,Low (0–10k),"Tailoring, Stitching",Food,Online,High,Home Tuition for Kids,Education,0.8
45,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Food,Online,Low,Small-scale Dairy Farming,Agriculture,0.7
21,Female,Urban,Low (0–10k),"Cooking, Snack Making",Beauty,Both,High,Home Cleaning Services,Domestic Services,0.62
35,Male,Urban,Low (0–10k),"Farming, Animal Care",Agriculture,Online,High,Plant Nursery Business,Agriculture,0.82
29,Male,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Art & Craft,Both,High,Home Tuition for Kids,Education,0.78
34,Female,Urban,High (50k+),"Tailoring, Stitching",Retail,Online,High,Handmade Craft & Jewelry Sales,Art & Craft,0.86
22,Male,Rural,Low (0–10k),"Cleaning, Domestic Work",Clothing,Both,Low,Handmade Craft & Jewelry Sales,Art & Craft,0.91
38,Female,Semi-Urban,Medium (10k–50k),"Gardening, Plant Care",Beauty,Both,High,Home Tuition for Kids,Education,0.74
50,Female,Semi-Urban,Low (0–10k),"Smartphone Usage, Online Sales",Agriculture,Offline,Medium,Home Cleaning Services,Domestic Services,0.82
27,Female,Semi-Urban,Low (0–10k),"Smartphone Usage, Online Sales",Education,Offline,High,Home Tuition for Kids,Education,0.86
50,Female,Rural,Low (0–10k),"Handicrafts, Weaving",Beauty,Both,Medium,Beauty & Hair Care Services,Beauty,0.65
41,Female,Semi-Urban,High (50k+),"Smartphone Usage, Online Sales",Beauty,Offline,Low,Home Tuition for Kids,Education,0.85
39,Male,Rural,Low (0–10k),"Beautician, Hair Styling",Art & Craft,Both,High,Plant Nursery Business,Agriculture,0.79
39,Female,Semi-Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Art & Craft,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.91
32,Female,Semi-Urban,Medium (10k–50k),"Gardening, Plant Care",Food,Online,Medium,Home Cleaning Services,Domestic Services,0.6
37,Female,Semi-Urban,High (50k+),"Farming, Animal Care",Retail,Online,Low,WhatsApp-based Reselling,E-commerce,0.61
22,Female,Urban,Low (0–10k),"Farming, Animal Care",Clothing,Offline,High,Event Photography,Creative Services,0.93
32,Female,Semi-Urban,High (50k+),"Beautician, Hair Styling",Art & Craft,Both,Medium,Home-based Tailoring Service,Apparel,0.79
35,Female,Rural,Medium (10k–50k),"Smartphone Usage, Online Sales",Education,Both,Low,Beauty & Hair Care Services,Beauty,0.77
23,Female,Semi-Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Beauty,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.62
25,Female,Urban,Low (0–10k),"Cooking, Snack Making",Education,Offline,Low,Home Cleaning Services,Domestic Services,0.77
20,Female,Urban,Low (0–10k),"Tailoring, Stitching",Food,Both,High,WhatsApp-based Reselling,E-commerce,0.94
37,Female,Semi-Urban,High (50k+),"Cooking, Snack Making",Food,Both,Medium,Event Photography,Creative Services,0.87
33,Male,Rural,Medium (10k–50k),"Cooking, Snack Making",Food,Offline,High,Small-scale Dairy Farming,Agriculture,0.87
43,Female,Rural,High (50k+),"Handicrafts, Weaving",Retail,Both,Low,Plant Nursery Business,Agriculture,0.64
44,Female,Urban,Low (0–10k),"Tailoring, Stitching",Beauty,Online,Medium,Plant Nursery Business,Agriculture,0.7
31,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Art & Craft,Offline,Medium,Home-based Tailoring Service,Apparel,0.86
44,Female,Urban,Low (0–10k),"Handicrafts, Weaving",Clothing,Both,Medium,Beauty & Hair Care Services,Beauty,0.87
24,Female,Semi-Urban,Medium (10k–50k),"Cleaning, Domestic Work",Beauty,Both,High,Event Photography,Creative Services,0.86
38,Female,Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Retail,Offline,Medium,Home-based Tailoring Service,Apparel,0.81
38,Female,Urban,High (50k+),"Cleaning, Domestic Work",Education,Online,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.7
20,Male,Semi-Urban,Medium (10k–50k),"Tailoring, Stitching",Education,Both,High,Event Photography,Creative Services,0.77
42,Female,Urban,High (50k+),"Smartphone Usage, Online Sales",Beauty,Both,Low,Beauty & Hair Care Services,Beauty,0.76
40,Female,Semi-Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Agriculture,Online,Low,Beauty & Hair Care Services,Beauty,0.86
36,Female,Urban,High (50k+),"Photography, Video Editing",Clothing,Both,Medium,Home Cleaning Services,Domestic Services,0.73
40,Female,Urban,High (50k+),"Smartphone Usage, Online Sales",Retail,Online,Medium,Beauty & Hair Care Services,Beauty,0.87
47,Female,Urban,Low (0–10k),"Cleaning, Domestic Work",Art & Craft,Offline,Medium,Home Cleaning Services,Domestic Services,0.87
30,Male,Semi-Urban,Low (0–10k),"Cooking, Snack Making",Beauty,Online,Medium,Event Photography,Creative Services,0.77
34,Female,Rural,Low (0–10k),"Cooking, Snack Making",Technology,Both,Medium,WhatsApp-based Reselling,E-commerce,0.88
24,Male,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Clothing,Both,High,WhatsApp-based Reselling,E-commerce,0.68
25,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Beauty,Online,Medium,Plant Nursery Business,Agriculture,0.81
26,Female,Semi-Urban,Medium (10k–50k),"Handicrafts, Weaving",Retail,Online,Low,Event Photography,Creative Services,0.71
30,Female,Semi-Urban,Medium (10k–50k),"Photography, Video Editing",Education,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.61
21,Female,Urban,Low (0–10k),"Photography, Video Editing",Beauty,Offline,High,Home Cleaning Services,Domestic Services,0.66
31,Female,Rural,Medium (10k–50k),"Cleaning, Domestic Work",Retail,Both,Medium,WhatsApp-based Reselling,E-commerce,0.91
38,Female,Rural,Low (0–10k),"Gardening, Plant Care",Retail,Online,High,Handmade Craft & Jewelry Sales,Art & Craft,0.94
40,Male,Rural,High (50k+),"Handicrafts, Weaving",Agriculture,Online,Medium,Beauty & Hair Care Services,Beauty,0.81
31,Female,Semi-Urban,Low (0–10k),"Tailoring, Stitching",Clothing,Offline,High,Beauty & Hair Care Services,Beauty,0.75
30,Male,Urban,High (50k+),"Cleaning, Domestic Work",Food,Online,High,Beauty & Hair Care Services,Beauty,0.67
24,Female,Rural,Low (0–10k),"Cooking, Snack Making",Food,Online,High,Home Tuition for Kids,Education,0.9
41,Female,Semi-Urban,High (50k+),"Cleaning, Domestic Work",Education,Online,Low,Home Tuition for Kids,Education,0.76
37,Female,Urban,Low (0–10k),"Gardening, Plant Care",Clothing,Both,Medium,Small-scale Dairy Farming,Agriculture,0.95
33,Female,Semi-Urban,High (50k+),"Tailoring, Stitching",Beauty,Both,Low,WhatsApp-based Reselling,E-commerce,0.79
39,Female,Urban,High (50k+),"Smartphone Usage, Online Sales",Technology,Online,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.76
45,Female,Urban,Low (0–10k),"Tailoring, Stitching",Agriculture,Online,Low,Home-based Tailoring Service,Apparel,0.9
27,Female,Urban,High (50k+),"Handicrafts, Weaving",Clothing,Online,Low,Home Tuition for Kids,Education,0.72
29,Male,Semi-Urban,High (50k+),"Tailoring, Stitching",Art & Craft,Both,Medium,Beauty & Hair Care Services,Beauty,0.83
48,Female,Urban,Medium (10k–50k),"Cleaning, Domestic Work",Retail,Online,High,WhatsApp-based Reselling,E-commerce,0.63
37,Female,Urban,High (50k+),"Cooking, Snack Making",Education,Online,High,Plant Nursery Business,Agriculture,0.65
28,Female,Urban,High (50k+),"Farming, Animal Care",Technology,Offline,Medium,Home Tuition for Kids,Education,0.84
36,Female,Rural,High (50k+),"Gardening, Plant Care",Food,Both,High,Home-based Tailoring Service,Apparel,0.68
30,Female,Rural,Medium (10k–50k),"Handicrafts, Weaving",Technology,Online,Low,Beauty & Hair Care Services,Beauty,0.9
43,Female,Urban,Low (0–10k),"Smartphone Usage, Online Sales",Education,Both,Low,Home Cleaning Services,Domestic Services,0.86
23,Female,Rural,Medium (10k–50k),"Tailoring, Stitching",Clothing,Both,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.88
37,Male,Rural,High (50k+),"Teaching Kids, Storytelling",Beauty,Both,Medium,Home Tuition for Kids,Education,0.94
31,Female,Rural,High (50k+),"Beautician, Hair Styling",Beauty,Both,Medium,Home Cleaning Services,Domestic Services,0.74
38,Male,Urban,Low (0–10k),"Smartphone Usage, Online Sales",Art & Craft,Offline,Medium,Plant Nursery Business,Agriculture,0.65
23,Female,Urban,High (50k+),"Gardening, Plant Care",Technology,Online,High,Event Photography,Creative Services,0.87
33,Female,Rural,High (50k+),"Handicrafts, Weaving",Technology,Online,Low,Home Tuition for Kids,Education,0.79
44,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Agriculture,Offline,Medium,Beauty & Hair Care Services,Beauty,0.67
