Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Available_Time_Per_Day,Literacy_Level,Assets_Owned,Community_Support_Level,Recommended_Business_Idea,Business_Category,Feasibility_Score,User_Satisfaction
53,Female,Rural,Low,"Mobile Repair, Pickle Making, Crafting, Makeup",Agriculture,Home-based,High,9,None,Internet,Low,Dairy Farming,Agriculture,0.7,0.87
21,Female,Rural,Low,"Baking, Content Creation",Creative Services,Home-based,Medium,9,Secondary,Phone + Internet,High,Content Creation Agency,Creative Services,0.47,0.78
42,Female,Rural,Low,"Content Creation, Pickle Making, Tailoring, Crafting",Beauty,Home-based,Medium,6,Secondary,Phone + Internet,Low,Home Salon,Beauty,0.71,0.63
49,Male,Rural,Medium,"Daycare Management, Content Creation, Teaching",Art & Craft,Hybrid,High,3,None,Internet,High,Candle Making,Art & Craft,0.4,0.98
30,Male,Semi-Urban,Low,"Paper Craft, Mushroom Cultivation, Mobile Repair",Beauty,Outdoor,Medium,8,None,Internet,Medium,Home Salon,Beauty,0.5,0.79
40,Female,Semi-Urban,Low,"Poultry Care, Embroidery",E-commerce,Outdoor,Low,9,Secondary,Vehicle,Medium,Handmade Products Store,E-commerce,0.42,0.56
29,Female,Urban,Medium,"Cooking, Home Cleaning, Pickle Making, Content Creation",Agriculture,Hybrid,Medium,10,None,Land,Low,Dairy Farming,Agriculture,0.6,0.57
43,Female,Urban,Low,"Teaching, Embroidery",Creative Services,Home-based,High,5,Secondary,Land,Medium,Video Editing Service,Creative Services,0.84,0.87
49,Female,Rural,Low,"Video Editing, Daycare Management",Agriculture,Hybrid,Medium,6,None,Phone,Medium,Dairy Farming,Agriculture,0.66,0.96
32,Male,Semi-Urban,Medium,"Dairy Management, Tailoring, Pickle Making",Creative Services,Home-based,Low,8,None,Phone + Internet,Low,Video Editing Service,Creative Services,0.79,0.68
24,Male,Semi-Urban,Low,"Paper Craft, Food Delivery, Farming",Art & Craft,Outdoor,Medium,6,Primary,Phone,High,Candle Making,Art & Craft,0.8,0.76
18,Female,Urban,Medium,"Baking, Mobile Repair, Reselling",Agriculture,Home-based,Medium,8,Secondary,Phone + Internet,Medium,Dairy Farming,Agriculture,0.86,0.88
32,Female,Rural,Low,"Poultry Care, Baking, Crafting",Food & Beverage,Hybrid,Medium,8,Primary,Vehicle,High,Homemade Pickles,Food & Beverage,0.52,0.58
47,Female,Urban,Medium,"Makeup, Crafting, Digital Marketing",Food & Beverage,Outdoor,Low,8,Secondary,Phone,High,Tiffin Service,Food & Beverage,0.72,0.63
42,Female,Semi-Urban,High,"Poultry Care, Dairy Management, Farming",Technology,Outdoor,Low,5,None,Vehicle,Low,YouTube Channel,Technology,0.62,0.81
47,Female,Urban,Low,"Embroidery, Food Delivery",Food & Beverage,Home-based,Low,9,Secondary,Phone,High,Snack Stall,Food & Beverage,0.63,0.8
29,Female,Urban,Low,"Photography, Reselling, Daycare Management, Dairy Management",Technology,Home-based,Medium,7,None,None,Low,Digital Marketing Agency,Technology,0.51,0.85
27,Female,Urban,Medium,"Video Editing, Paper Craft",Agriculture,Hybrid,Medium,9,None,None,Medium,Mushroom Cultivation,Agriculture,0.75,0.8
18,Female,Semi-Urban,Low,"Pickle Making, Content Creation",Education,Outdoor,High,10,None,None,Low,Spoken English Classes,Education,0.41,0.5
47,Female,Semi-Urban,Low,"Crafting, Tailoring",E-commerce,Hybrid,High,9,None,Vehicle,Low,Dropshipping,E-commerce,0.86,0.86
53,Female,Urban,Low,"Sewing, Poultry Care, Farming",Creative Services,Hybrid,High,5,None,Internet,Low,Content Creation Agency,Creative Services,0.73,0.65
37,Male,Semi-Urban,High,"Paper Craft, Mushroom Cultivation, Photography, Food Delivery",Technology,Home-based,High,7,None,None,Low,Digital Marketing Agency,Technology,0.63,0.99
37,Female,Urban,Medium,"Daycare Management, Dairy Management, Food Delivery, Sewing",Creative Services,Hybrid,High,6,Secondary,Land,Low,Video Editing Service,Creative Services,0.48,0.52
27,Female,Rural,Medium,"Pickle Making, Food Delivery, Tailoring",Technology,Home-based,Medium,10,Secondary,Internet,High,Digital Marketing Agency,Technology,0.53,0.73
52,Female,Semi-Urban,High,"Teaching, Home Cleaning, Embroidery, Poultry Care",E-commerce,Outdoor,Medium,5,Secondary,Land,Medium,Dropshipping,E-commerce,0.58,0.59
47,Male,Rural,Low,"Mushroom Cultivation, Reselling, Content Creation",Domestic Services,Hybrid,Medium,4,Primary,Vehicle,Low,Home Cook,Domestic Services,0.89,0.6
25,Male,Semi-Urban,Low,"Pickle Making, Reselling, Photography",Art & Craft,Outdoor,Low,3,None,Internet,Medium,Candle Making,Art & Craft,0.64,0.99
29,Female,Urban,Medium,"Teaching, Hair Styling, Sewing, Embroidery",Art & Craft,Hybrid,High,9,None,Internet,High,Jewelry Design,Art & Craft,0.47,0.98
52,Male,Rural,High,"Embroidery, Reselling",Agriculture,Hybrid,High,2,Primary,Internet,High,Mushroom Cultivation,Agriculture,0.92,0.66
54,Male,Urban,Medium,"Tailoring, Video Editing",Domestic Services,Outdoor,High,5,None,None,High,Babysitting,Domestic Services,0.71,0.72
44,Female,Urban,Low,"Candle Making, Hair Styling, Sewing",Apparel,Home-based,Medium,5,Secondary,Land + Vehicle,High,Tailoring Business,Apparel,0.63,0.7
37,Female,Rural,Medium,"Dairy Management, Candle Making",E-commerce,Hybrid,Low,9,Primary,Land + Vehicle,Low,Handmade Products Store,E-commerce,0.67,0.99
30,Female,Rural,Medium,"Photography, Mobile Repair, Pickle Making, Digital Marketing",Art & Craft,Outdoor,Low,9,Primary,Phone + Internet,High,Jewelry Design,Art & Craft,0.71,0.57
33,Female,Semi-Urban,Medium,"Reselling, Dairy Management",Art & Craft,Home-based,Medium,3,Primary,Vehicle,Medium,Candle Making,Art & Craft,0.71,0.68
38,Female,Semi-Urban,Low,"Video Editing, Mushroom Cultivation, Crafting",Technology,Hybrid,Medium,4,None,Internet,High,YouTube Channel,Technology,0.62,0.87
48,Male,Rural,Low,"Poultry Care, Teaching, Farming",Technology,Outdoor,Low,7,None,Land + Vehicle,Medium,YouTube Channel,Technology,0.76,0.78
25,Male,Rural,Low,"Tailoring, Makeup, Home Cleaning",Beauty,Outdoor,Medium,4,None,Phone + Internet,High,Skincare Product Making,Beauty,0.72,0.85
26,Female,Rural,Low,"Teaching, Candle Making",Creative Services,Outdoor,Medium,6,Primary,Land + Vehicle,High,Content Creation Agency,Creative Services,0.81,0.61
39,Female,Urban,Low,"Embroidery, Farming",Technology,Outdoor,Medium,9,None,Vehicle,Medium,Digital Marketing Agency,Technology,0.61,0.68
54,Female,Urban,Low,"Cooking, Pickle Making, Photography, Food Delivery",Art & Craft,Hybrid,High,7,None,Phone,Low,Jewelry Design,Art & Craft,0.42,0.86
50,Female,Urban,Low,"Dairy Management, Pickle Making, Makeup, Tailoring",Creative Services,Outdoor,High,4,Secondary,Phone,Low,Video Editing Service,Creative Services,0.53,0.53
45,Male,Urban,Medium,"Mushroom Cultivation, Crafting, Food Delivery",Technology,Home-based,Low,3,Primary,Phone,Medium,YouTube Channel,Technology,0.45,0.9
40,Female,Rural,Medium,"Poultry Care, Cooking",Apparel,Hybrid,Low,6,Secondary,Phone,Low,Tailoring Business,Apparel,0.61,0.84
39,Female,Semi-Urban,Medium,"Tailoring, Digital Marketing",Agriculture,Hybrid,Medium,6,None,Phone + Internet,Low,Mushroom Cultivation,Agriculture,0.91,0.6
48,Female,Urban,Low,"Cooking, Digital Marketing",Art & Craft,Home-based,Low,10,Primary,Phone + Internet,Low,Paper Crafts,Art & Craft,0.62,0.76
39,Female,Semi-Urban,Medium,"Tailoring, Paper Craft, Embroidery",Beauty,Hybrid,Low,2,Primary,Internet,High,Mehendi Services,Beauty,0.92,0.52
24,Female,Rural,Low,"Baking, Digital Marketing, Sewing",Food & Beverage,Hybrid,Medium,9,Secondary,Internet,Low,Tiffin Service,Food & Beverage,0.52,0.72
28,Female,Rural,Low,"Content Creation, Mobile Repair, Dairy Management, Reselling",Agriculture,Outdoor,Medium,4,None,Phone + Internet,Low,Dairy Farming,Agriculture,0.56,0.84
54,Female,Rural,Low,"Candle Making, Food Delivery, Pickle Making",E-commerce,Outdoor,Medium,6,Secondary,Land + Vehicle,Low,Handmade Products Store,E-commerce,0.7,0.92
41,Male,Urban,Low,"Digital Marketing, Content Creation",Education,Home-based,Low,9,Secondary,Land,Medium,Spoken English Classes,Education,0.8,0.86
32,Female,Rural,Low,"Paper Craft, Candle Making, Dairy Management, Home Cleaning",Apparel,Outdoor,High,6,Primary,None,High,Tailoring Business,Apparel,0.88,0.68
39,Female,Semi-Urban,Medium,"Content Creation, Hair Styling, Paper Craft, Daycare Management",Agriculture,Home-based,High,2,Primary,None,High,Poultry Business,Agriculture,0.59,0.78
42,Female,Rural,Low,"Digital Marketing, Cooking, Video Editing, Sewing",Education,Hybrid,High,2,Secondary,Phone + Internet,Medium,Daycare Center,Education,0.76,0.6
31,Male,Urban,Low,"Teaching, Content Creation, Farming, Paper Craft",Education,Outdoor,High,2,None,None,Medium,Daycare Center,Education,0.65,1.0
28,Female,Semi-Urban,Low,"Video Editing, Pickle Making, Digital Marketing",Technology,Hybrid,Medium,10,Secondary,Internet,Medium,Digital Marketing Agency,Technology,0.77,0.61
38,Female,Semi-Urban,High,"Farming, Video Editing",Education,Hybrid,Medium,10,None,Phone + Internet,Medium,Spoken English Classes,Education,0.59,0.65
29,Female,Rural,Low,"Daycare Management, Baking, Candle Making",Creative Services,Outdoor,High,9,Primary,Internet,Low,Video Editing Service,Creative Services,0.71,0.97
26,Male,Urban,Medium,"Candle Making, Hair Styling",Art & Craft,Home-based,High,9,Primary,None,Medium,Jewelry Design,Art & Craft,0.54,0.94
33,Female,Semi-Urban,Low,"Teaching, Food Delivery, Tailoring",Apparel,Home-based,Medium,10,None,Internet,Medium,Embroidery Shop,Apparel,0.68,0.51
25,Female,Semi-Urban,High,"Candle Making, Content Creation, Farming, Sewing",Education,Hybrid,High,4,Primary,Phone + Internet,Medium,Spoken English Classes,Education,0.42,0.65
30,Female,Rural,Medium,"Mobile Repair, Farming",Apparel,Hybrid,Medium,2,Primary,Land,Low,Embroidery Shop,Apparel,0.91,0.84
25,Female,Urban,Low,"Pickle Making, Dairy Management, Poultry Care, Sewing",Agriculture,Hybrid,Medium,4,Primary,Land + Vehicle,Low,Poultry Business,Agriculture,0.84,0.79
18,Female,Semi-Urban,Low,"Digital Marketing, Embroidery, Food Delivery",Agriculture,Hybrid,High,3,None,Phone + Internet,High,Mushroom Cultivation,Agriculture,0.42,0.87
18,Female,Rural,Medium,"Content Creation, Makeup, Video Editing",Agriculture,Outdoor,Medium,7,None,Land,High,Dairy Farming,Agriculture,0.81,0.9
41,Female,Rural,Low,"Content Creation, Dairy Management, Food Delivery",Agriculture,Outdoor,Low,7,Secondary,Phone,Medium,Dairy Farming,Agriculture,0.5,0.84
26,Female,Rural,Low,"Dairy Management, Makeup",Food & Beverage,Home-based,High,5,Secondary,Phone,Medium,Spice Mixing,Food & Beverage,0.76,0.91
41,Female,Semi-Urban,Medium,"Reselling, Dairy Management",Creative Services,Hybrid,Low,8,None,Internet,Medium,Video Editing Service,Creative Services,0.57,0.58
28,Female,Semi-Urban,Low,"Paper Craft, Mobile Repair",Food & Beverage,Outdoor,Medium,4,None,Vehicle,High,Spice Mixing,Food & Beverage,0.49,0.79
20,Female,Urban,Low,"Pickle Making, Teaching",Technology,Outdoor,Medium,7,None,None,High,Mobile Repair Shop,Technology,0.88,0.96
23,Female,Rural,Low,"Dairy Management, Sewing, Farming",Food & Beverage,Outdoor,Medium,3,None,Phone,Low,Tiffin Service,Food & Beverage,0.94,0.64
40,Female,Urban,Medium,"Dairy Management, Hair Styling",Domestic Services,Hybrid,Medium,6,Secondary,Internet,High,Cleaning Services,Domestic Services,0.84,0.79
48,Female,Urban,Medium,"Food Delivery, Makeup",Food & Beverage,Home-based,High,3,Secondary,None,Medium,Tiffin Service,Food & Beverage,0.94,0.62
48,Female,Semi-Urban,Medium,"Dairy Management, Teaching, Photography",Technology,Home-based,Medium,6,Primary,Phone,Medium,Mobile Repair Shop,Technology,0.69,0.84
54,Female,Urban,Low,"Sewing, Reselling",Creative Services,Outdoor,Low,7,Secondary,Phone + Internet,Low,Photography Studio,Creative Services,0.73,0.64
42,Female,Rural,Low,"Tailoring, Cooking, Content Creation",Creative Services,Hybrid,Medium,5,None,None,High,Video Editing Service,Creative Services,0.6,0.75
53,Female,Semi-Urban,Low,"Cooking, Pickle Making",Beauty,Hybrid,Low,2,Secondary,Phone + Internet,Low,Skincare Product Making,Beauty,0.53,0.53
37,Female,Rural,Low,"Tailoring, Cooking, Pickle Making",Technology,Outdoor,Medium,3,Secondary,Land + Vehicle,Medium,YouTube Channel,Technology,0.79,0.85
21,Female,Semi-Urban,Low,"Embroidery, Home Cleaning, Video Editing, Paper Craft",Agriculture,Home-based,Medium,3,Primary,Phone + Internet,Medium,Poultry Business,Agriculture,0.58,0.63
26,Female,Rural,Low,"Baking, Paper Craft, Mushroom Cultivation, Candle Making",Art & Craft,Outdoor,Low,8,Primary,Land,Medium,Jewelry Design,Art & Craft,0.66,0.84
50,Female,Semi-Urban,Low,"Reselling, Makeup",Domestic Services,Hybrid,Low,5,Primary,Phone,Medium,Home Cook,Domestic Services,0.91,0.73
26,Female,Semi-Urban,Low,"Content Creation, Reselling, Hair Styling, Teaching",Creative Services,Outdoor,High,7,Primary,None,High,Content Creation Agency,Creative Services,0.85,0.99
26,Male,Semi-Urban,Low,"Baking, Mobile Repair",Domestic Services,Hybrid,Low,7,Secondary,None,High,Cleaning Services,Domestic Services,0.51,0.84
46,Female,Urban,High,"Sewing, Farming, Mobile Repair, Mushroom Cultivation",Art & Craft,Home-based,Medium,7,None,Internet,Medium,Jewelry Design,Art & Craft,0.81,0.54
18,Female,Semi-Urban,Low,"Embroidery, Photography",Food & Beverage,Outdoor,Low,5,Primary,Phone + Internet,High,Tiffin Service,Food & Beverage,0.54,0.72
29,Female,Rural,High,"Digital Marketing, Photography, Reselling",Technology,Hybrid,Low,2,Primary,Phone,Medium,Digital Marketing Agency,Technology,0.75,0.66
52,Female,Urban,Low,"Digital Marketing, Reselling, Embroidery",Agriculture,Hybrid,Medium,4,Secondary,None,High,Poultry Business,Agriculture,0.48,0.66
48,Female,Semi-Urban,High,"Baking, Candle Making",E-commerce,Hybrid,Medium,6,Primary,Land,Low,Online Reselling,E-commerce,0.62,0.61
37,Female,Semi-Urban,Low,"Crafting, Embroidery, Poultry Care",Technology,Hybrid,Medium,3,None,None,High,Digital Marketing Agency,Technology,0.8,0.84
34,Female,Rural,Low,"Mushroom Cultivation, Farming",E-commerce,Hybrid,High,5,None,Phone,Low,Online Reselling,E-commerce,0.75,0.56
40,Female,Semi-Urban,Low,"Tailoring, Daycare Management, Mushroom Cultivation, Teaching",Technology,Hybrid,Medium,3,Secondary,Phone + Internet,Medium,Mobile Repair Shop,Technology,0.68,0.94
36,Male,Urban,High,"Paper Craft, Embroidery, Crafting, Digital Marketing",Creative Services,Home-based,Low,3,None,Phone,High,Photography Studio,Creative Services,0.51,0.82
52,Female,Urban,Low,"Food Delivery, Embroidery, Content Creation, Tailoring",Technology,Hybrid,Low,3,Primary,Land,Low,Digital Marketing Agency,Technology,0.78,0.57
25,Female,Urban,Medium,"Reselling, Daycare Management, Paper Craft, Poultry Care",Apparel,Home-based,Medium,8,Primary,Land,Medium,Embroidery Shop,Apparel,0.72,0.93
38,Female,Semi-Urban,Low,"Candle Making, Cooking, Poultry Care",E-commerce,Hybrid,High,10,None,None,Low,Dropshipping,E-commerce,0.42,0.59
31,Female,Urban,Medium,"Home Cleaning, Teaching, Baking, Mobile Repair",Food & Beverage,Hybrid,High,10,Secondary,Phone,High,Snack Stall,Food & Beverage,0.66,0.82
26,Female,Semi-Urban,Low,"Embroidery, Digital Marketing, Cooking",Technology,Home-based,Medium,10,Secondary,Phone + Internet,Low,YouTube Channel,Technology,0.75,0.87
24,Female,Semi-Urban,Medium,"Dairy Management, Farming",Domestic Services,Hybrid,Medium,3,Primary,Phone,High,Babysitting,Domestic Services,0.88,0.53
18,Female,Semi-Urban,Medium,"Dairy Management, Photography, Video Editing",Education,Hybrid,High,2,None,Phone + Internet,Low,Spoken English Classes,Education,0.69,0.65
29,Female,Semi-Urban,Medium,"Mushroom Cultivation, Baking",Domestic Services,Hybrid,Low,5,Primary,Phone + Internet,Low,Babysitting,Domestic Services,0.52,0.65
51,Female,Urban,Medium,"Hair Styling, Dairy Management",Creative Services,Hybrid,Low,9,Secondary,Land,High,Video Editing Service,Creative Services,0.63,0.54
30,Female,Semi-Urban,Medium,"Embroidery, Food Delivery",Creative Services,Hybrid,Medium,10,None,Land + Vehicle,Medium,Photography Studio,Creative Services,0.48,0.75
52,Female,Rural,Medium,"Reselling, Mushroom Cultivation, Hair Styling, Sewing",Education,Home-based,High,2,None,Phone,High,Home Tuition,Education,0.94,0.91
43,Female,Semi-Urban,Low,"Photography, Pickle Making, Content Creation, Crafting",Technology,Outdoor,High,3,Primary,None,Medium,Mobile Repair Shop,Technology,0.61,0.77
53,Male,Urban,Low,"Mushroom Cultivation, Food Delivery, Dairy Management",Art & Craft,Hybrid,High,7,Primary,Vehicle,Low,Paper Crafts,Art & Craft,0.77,0.86
37,Female,Rural,Low,"Content Creation, Reselling, Embroidery, Tailoring",Creative Services,Home-based,High,10,None,Phone,High,Content Creation Agency,Creative Services,0.73,0.66
18,Female,Rural,Medium,"Digital Marketing, Home Cleaning, Dairy Management",E-commerce,Outdoor,Medium,10,None,Land,Low,Online Reselling,E-commerce,0.78,0.55
19,Female,Urban,Low,"Food Delivery, Makeup, Video Editing, Mobile Repair",Technology,Hybrid,Medium,7,Secondary,Land + Vehicle,Medium,Mobile Repair Shop,Technology,0.94,0.77
55,Female,Rural,Low,"Mobile Repair, Photography",Food & Beverage,Hybrid,High,10,None,Land,Medium,Tiffin Service,Food & Beverage,0.84,0.75
19,Female,Rural,Low,"Photography, Food Delivery, Daycare Management",E-commerce,Outdoor,Low,6,Secondary,Phone,Low,Handmade Products Store,E-commerce,0.42,0.66
25,Female,Rural,Medium,"Food Delivery, Candle Making, Teaching",Food & Beverage,Home-based,High,10,None,Vehicle,Medium,Spice Mixing,Food & Beverage,0.51,0.63
37,Female,Semi-Urban,Medium,"Crafting, Digital Marketing, Home Cleaning, Farming",Food & Beverage,Outdoor,Medium,3,None,Vehicle,Low,Tiffin Service,Food & Beverage,0.42,0.75
54,Female,Urban,Medium,"Video Editing, Home Cleaning",Agriculture,Home-based,Low,8,Primary,Land + Vehicle,Medium,Mushroom Cultivation,Agriculture,0.43,0.57
53,Female,Urban,Low,"Photography, Mushroom Cultivation, Hair Styling",Art & Craft,Hybrid,High,5,None,None,Low,Jewelry Design,Art & Craft,0.57,0.98
54,Female,Rural,Low,"Embroidery, Sewing, Candle Making, Poultry Care",Agriculture,Home-based,High,2,Primary,Phone,Medium,Poultry Business,Agriculture,0.83,0.65
48,Female,Urban,Low,"Digital Marketing, Teaching",Technology,Home-based,Low,4,None,Vehicle,Low,Mobile Repair Shop,Technology,0.5,0.67
28,Female,Urban,High,"Crafting, Food Delivery",Creative Services,Home-based,Medium,8,Secondary,Phone,High,Photography Studio,Creative Services,0.64,0.98
30,Male,Semi-Urban,Medium,"Reselling, Poultry Care, Makeup, Mushroom Cultivation",Apparel,Hybrid,Low,4,Primary,Internet,High,Fabric Painting,Apparel,0.95,0.96
52,Female,Semi-Urban,Low,"Photography, Farming",Technology,Outdoor,Medium,3,Secondary,Land + Vehicle,Low,Digital Marketing Agency,Technology,0.54,0.5
24,Female,Urban,Low,"Candle Making, Hair Styling, Paper Craft, Poultry Care",Apparel,Hybrid,Low,9,Primary,Vehicle,Low,Tailoring Business,Apparel,0.56,0.68
41,Female,Urban,Low,"Pickle Making, Home Cleaning",Art & Craft,Hybrid,Medium,6,Primary,Internet,Medium,Jewelry Design,Art & Craft,0.53,0.53
34,Female,Semi-Urban,Low,"Photography, Home Cleaning, Daycare Management",Education,Hybrid,Medium,10,Secondary,None,High,Home Tuition,Education,0.57,0.92
37,Female,Semi-Urban,Low,"Mushroom Cultivation, Home Cleaning, Teaching",Creative Services,Hybrid,Medium,8,None,Vehicle,Low,Photography Studio,Creative Services,0.61,0.55
33,Female,Rural,Medium,"Poultry Care, Daycare Management, Food Delivery",Education,Outdoor,High,3,Primary,Phone + Internet,Medium,Home Tuition,Education,0.54,0.98
37,Female,Rural,Low,"Embroidery, Daycare Management, Farming",Food & Beverage,Outdoor,Low,3,Primary,Phone + Internet,High,Spice Mixing,Food & Beverage,0.73,0.59
47,Male,Urban,Low,"Tailoring, Cooking, Video Editing",Food & Beverage,Home-based,Medium,6,None,Phone + Internet,Medium,Spice Mixing,Food & Beverage,0.73,0.91
34,Female,Urban,Medium,"Candle Making, Content Creation, Hair Styling, Reselling",E-commerce,Home-based,Medium,9,Secondary,Phone + Internet,Medium,Dropshipping,E-commerce,0.7,0.51
18,Female,Urban,Medium,"Reselling, Home Cleaning",Beauty,Hybrid,Low,7,Secondary,Vehicle,High,Mehendi Services,Beauty,0.8,0.97
39,Male,Rural,Low,"Digital Marketing, Makeup, Sewing",Beauty,Hybrid,Low,4,Primary,Phone,Medium,Skincare Product Making,Beauty,0.49,0.67
39,Female,Semi-Urban,High,"Paper Craft, Tailoring",E-commerce,Outdoor,High,4,Primary,Vehicle,High,Online Reselling,E-commerce,0.53,0.91
33,Female,Semi-Urban,Medium,"Video Editing, Makeup",Art & Craft,Hybrid,Low,7,None,Phone + Internet,Low,Jewelry Design,Art & Craft,0.72,0.77
50,Male,Semi-Urban,Low,"Video Editing, Paper Craft, Poultry Care, Food Delivery",Technology,Home-based,Medium,3,Secondary,Vehicle,Medium,Mobile Repair Shop,Technology,0.48,0.56
24,Male,Semi-Urban,Medium,"Digital Marketing, Food Delivery",Creative Services,Outdoor,High,5,None,Phone + Internet,High,Content Creation Agency,Creative Services,0.86,0.88
45,Female,Urban,Medium,"Dairy Management, Tailoring, Pickle Making",Creative Services,Hybrid,Low,4,Secondary,Phone,Medium,Video Editing Service,Creative Services,0.59,0.84
22,Female,Rural,Low,"Hair Styling, Embroidery, Food Delivery",Creative Services,Hybrid,High,4,Secondary,Phone + Internet,Medium,Photography Studio,Creative Services,0.42,0.83
43,Female,Urban,Medium,"Farming, Dairy Management, Embroidery, Sewing",Technology,Hybrid,Medium,5,Primary,Phone + Internet,Medium,Mobile Repair Shop,Technology,0.72,0.96
46,Male,Urban,Low,"Tailoring, Candle Making",Beauty,Hybrid,High,2,Primary,Phone + Internet,Low,Home Salon,Beauty,0.85,0.82
31,Male,Rural,Medium,"Hair Styling, Poultry Care",Art & Craft,Outdoor,Low,3,Secondary,Phone + Internet,Low,Candle Making,Art & Craft,0.62,0.53
25,Female,Rural,Low,"Cooking, Teaching, Tailoring",Food & Beverage,Home-based,High,2,Secondary,Internet,Low,Spice Mixing,Food & Beverage,0.5,0.79
32,Female,Rural,Low,"Paper Craft, Baking, Photography",Agriculture,Home-based,Medium,8,Secondary,Phone + Internet,High,Poultry Business,Agriculture,0.56,0.8
24,Female,Rural,Low,"Hair Styling, Pickle Making, Content Creation, Dairy Management",Food & Beverage,Home-based,High,9,Primary,Phone,Medium,Tiffin Service,Food & Beverage,0.51,0.52
29,Female,Rural,Medium,"Cooking, Mushroom Cultivation",Technology,Home-based,Low,3,None,Land,High,Mobile Repair Shop,Technology,0.68,0.84
18,Male,Urban,Low,"Photography, Dairy Management",Beauty,Outdoor,High,8,Secondary,Phone,Medium,Home Salon,Beauty,0.64,0.73
38,Male,Semi-Urban,Medium,"Dairy Management, Reselling",Agriculture,Home-based,Medium,3,Primary,None,Medium,Poultry Business,Agriculture,0.94,0.53
49,Female,Semi-Urban,Low,"Tailoring, Sewing, Hair Styling, Dairy Management",Education,Outdoor,Medium,3,None,Land,High,Daycare Center,Education,0.9,1.0
23,Female,Rural,Low,"Cooking, Daycare Management",Education,Hybrid,High,2,None,Land + Vehicle,High,Spoken English Classes,Education,0.92,0.9
18,Female,Rural,High,"Hair Styling, Candle Making, Reselling, Crafting",Food & Beverage,Hybrid,Medium,7,Secondary,Internet,Medium,Spice Mixing,Food & Beverage,0.88,0.99
39,Female,Semi-Urban,Medium,"Cooking, Baking, Dairy Management, Embroidery",Apparel,Outdoor,Low,7,Primary,Land + Vehicle,Low,Fabric Painting,Apparel,0.5,0.78
20,Female,Semi-Urban,High,"Content Creation, Reselling",Domestic Services,Home-based,Low,2,Secondary,Vehicle,Low,Cleaning Services,Domestic Services,0.83,0.59
